P, 19.000.994-1, 042, 02-01-2018
P, 18.343.232-4, 015, 05-01-2018
P, 19.632.948-4, 047, 12-01-2018
P, 18.588.984-5, 060, 12-01-2018
P, 19.000.994-1, 067, 13-01-2018
P, 18.478.232-6, 070, 16-01-2018
P, 18.343.232-4, 043, 16-01-2018
P, 17.459.297-4, 055, 17-01-2018
P, 19.000.994-1, 071, 19-01-2018
P, 19.632.948-4, 059, 21-01-2018
P, 18.648.673-1, 022, 24-01-2018
P, 18.588.984-5, 026, 25-01-2018
P, 18.478.232-6, 058, 26-01-2018
P, 19.129.001-8, 005, 28-01-2018
D, 19.000.994-1, 042, 01-02-2018
P, 18.989.948-7, 045, 01-02-2018
P, 18.948.049-k, 038, 01-02-2018
P, 18.989.948-7, 057, 02-02-2018
D, 18.648.673-1, 022, 04-02-2018
D, 18.588.984-5, 060, 05-02-2018
P, 18.498.299-7, 005, 07-02-2018
P, 18.478.232-6, 001, 08-02-2018
P, 19.129.001-8, 032, 09-02-2018
P, 19.498.322-7, 015, 09-02-2018
D, 19.632.948-4, 047, 12-02-2018
D, 19.129.001-8, 005, 14-02-2018
D, 18.343.232-4, 015, 14-02-2018
P, 18.343.849-5, 017, 14-02-2018
P, 18.343.232-4, 052, 15-02-2018
D, 17.459.297-4, 055, 17-02-2018
P, 19.000.994-1, 047, 19-02-2018
P, 18.989.948-7, 003, 19-02-2018
P, 18.588.984-5, 050, 20-02-2018
D, 18.478.232-6, 070, 22-02-2018
P, 18.588.984-5, 062, 24-02-2018
P, 19.498.322-7, 014, 25-02-2018
P, 19.129.001-8, 042, 26-02-2018
D, 18.343.849-5, 017, 01-03-2018
D, 19.129.001-8, 032, 01-03-2018
D, 18.989.948-7, 045, 01-03-2018
D, 18.478.232-6, 001, 02-03-2018
P, 18.985.988-1, 010, 03-03-2018
P, 18.478.232-6, 044, 04-03-2018
P, 18.588.984-5, 006, 04-03-2018
P, 18.343.232-4, 075, 07-03-2018
D, 18.948.049-k, 038, 08-03-2018
P, 18.989.948-7, 042, 08-03-2018
P, 18.343.849-5, 024, 08-03-2018
D, 19.000.994-1, 047, 09-03-2018
P, 18.985.988-1, 025, 12-03-2018
P, 18.343.232-4, 075, 13-03-2018
D, 18.588.984-5, 050, 16-03-2018
D, 18.498.299-7, 005, 18-03-2018
D, 18.343.232-4, 052, 19-03-2018
P, 18.498.299-7, 059, 19-03-2018
P, 18.989.948-7, 027, 24-03-2018
P, 18.989.948-7, 015, 25-03-2018
P, 19.129.001-8, 051, 25-03-2018
D, 19.498.322-7, 015, 27-03-2018
P, 19.632.948-4, 064, 27-03-2018
P, 19.632.948-4, 013, 29-03-2018
P, 18.498.299-7, 068, 30-03-2018
D, 18.498.299-7, 059, 01-04-2018
D, 18.985.988-1, 010, 01-04-2018
D, 19.632.948-4, 064, 02-04-2018
P, 19.632.948-4, 035, 02-04-2018
P, 18.498.299-7, 074, 04-04-2018
P, 18.985.988-1, 018, 05-04-2018
P, 18.989.948-7, 028, 08-04-2018
P, 19.000.994-1, 003, 09-04-2018
P, 19.480.993-2, 025, 09-04-2018
P, 19.894.749-1, 047, 10-04-2018
P, 20.349.028-7, 042, 10-04-2018
P, 18.985.988-1, 001, 12-04-2018
D, 19.129.001-8, 051, 14-04-2018
D, 18.343.232-4, 075, 14-04-2018
P, 17.775.111-2, 064, 14-04-2018
P, 18.985.988-1, 066, 14-04-2018
D, 18.989.948-7, 042, 15-04-2018
D, 18.343.849-5, 024, 16-04-2018
P, 19.498.322-7, 059, 21-04-2018
D, 18.478.232-6, 044, 23-04-2018
P, 18.948.049-k, 011, 23-04-2018
D, 18.588.984-5, 006, 28-04-2018
P, 19.654.466-3, 037, 29-04-2018
P, 20.349.028-7, 077, 29-04-2018
P, 17.775.111-2, 036, 01-05-2018
P, 17.748.904-2, 049, 02-05-2018
P, 18.588.984-5, 006, 02-05-2018
D, 18.498.299-7, 074, 03-05-2018
D, 18.989.948-7, 028, 07-05-2018
D, 20.349.028-7, 042, 09-05-2018
D, 18.985.988-1, 018, 09-05-2018
P, 18.648.673-1, 032, 09-05-2018
P, 18.498.299-7, 067, 09-05-2018
P, 19.632.948-4, 057, 10-05-2018
D, 17.775.111-2, 064, 11-05-2018
D, 19.894.749-1, 047, 14-05-2018
P, 19.000.994-1, 004, 14-05-2018
P, 18.588.984-5, 011, 14-05-2018
D, 19.654.466-3, 037, 15-05-2018
P, 17.748.904-2, 002, 15-05-2018
D, 19.498.322-7, 059, 17-05-2018
P, 18.343.849-5, 043, 17-05-2018
D, 19.480.993-2, 025, 18-05-2018
P, 17.748.904-2, 003, 22-05-2018
P, 19.480.993-2, 026, 24-05-2018
D, 19.000.994-1, 003, 25-05-2018
P, 17.748.904-2, 061, 26-05-2018
D, 18.948.049-k, 011, 28-05-2018
D, 19.632.948-4, 035, 30-05-2018
P, 19.498.322-7, 002, 30-05-2018
P, 18.985.988-1, 062, 31-05-2018
P, 18.478.232-6, 050, 01-06-2018
P, 18.989.948-7, 014, 02-06-2018
P, 19.632.948-4, 057, 02-06-2018
D, 19.632.948-4, 057, 06-06-2018
P, 19.632.948-4, 072, 07-06-2018
D, 18.985.988-1, 062, 08-06-2018
D, 18.588.984-5, 006, 10-06-2018
D, 17.748.904-2, 049, 10-06-2018
P, 19.498.322-7, 053, 10-06-2018
P, 17.748.904-2, 008, 13-06-2018
D, 18.343.849-5, 043, 18-06-2018
P, 18.648.673-1, 051, 19-06-2018
P, 18.989.948-7, 028, 20-06-2018
P, 18.989.948-7, 004, 20-06-2018
P, 18.478.232-6, 007, 21-06-2018
D, 18.648.673-1, 032, 22-06-2018
P, 18.648.673-1, 060, 23-06-2018
D, 18.498.299-7, 067, 26-06-2018
P, 18.588.984-5, 059, 27-06-2018
P, 18.498.299-7, 017, 27-06-2018
D, 19.498.322-7, 002, 28-06-2018
D, 19.480.993-2, 026, 28-06-2018
P, 17.775.111-2, 001, 28-06-2018
D, 19.000.994-1, 004, 30-06-2018
D, 17.775.111-2, 036, 30-06-2018
P, 17.775.111-2, 004, 30-06-2018
P, 18.648.673-1, 067, 03-07-2018
P, 18.648.673-1, 058, 03-07-2018
D, 17.775.111-2, 001, 05-07-2018
D, 17.748.904-2, 008, 05-07-2018
P, 18.985.988-1, 044, 05-07-2018
P, 18.989.948-7, 051, 08-07-2018
P, 18.343.232-4, 006, 09-07-2018
P, 18.948.049-k, 037, 09-07-2018
P, 18.498.299-7, 027, 09-07-2018
P, 19.894.749-1, 052, 15-07-2018
D, 19.498.322-7, 053, 16-07-2018
P, 20.349.028-7, 076, 16-07-2018
D, 18.648.673-1, 051, 17-07-2018
P, 17.775.111-2, 020, 19-07-2018
P, 18.498.299-7, 036, 20-07-2018
P, 19.654.466-3, 054, 22-07-2018
D, 18.989.948-7, 014, 23-07-2018
D, 18.478.232-6, 050, 24-07-2018
P, 19.894.749-1, 064, 24-07-2018
D, 18.588.984-5, 059, 25-07-2018
D, 19.632.948-4, 057, 25-07-2018
D, 18.498.299-7, 017, 29-07-2018
P, 19.480.993-2, 051, 30-07-2018
P, 19.129.001-8, 056, 31-07-2018
P, 19.894.749-1, 046, 01-08-2018
D, 17.775.111-2, 020, 02-08-2018
P, 18.985.988-1, 061, 02-08-2018
P, 18.989.948-7, 002, 02-08-2018
P, 18.588.984-5, 018, 04-08-2018
P, 17.775.111-2, 068, 04-08-2018
D, 19.894.749-1, 052, 06-08-2018
P, 18.588.984-5, 030, 06-08-2018
P, 17.775.111-2, 025, 06-08-2018
D, 19.480.993-2, 051, 07-08-2018
P, 18.478.232-6, 035, 07-08-2018
D, 18.648.673-1, 058, 09-08-2018
P, 17.459.297-4, 056, 10-08-2018
D, 20.349.028-7, 076, 11-08-2018
D, 18.498.299-7, 027, 11-08-2018
D, 18.343.232-4, 006, 15-08-2018
D, 18.343.232-4, 006, 15-08-2018
P, 19.894.749-1, 054, 19-08-2018
D, 18.948.049-k, 037, 24-08-2018
D, 18.989.948-7, 051, 24-08-2018
D, 19.654.466-3, 054, 25-08-2018
D, 19.129.001-8, 056, 27-08-2018
P, 18.985.988-1, 016, 27-08-2018
P, 19.654.466-3, 002, 28-08-2018
P, 18.648.673-1, 034, 28-08-2018
P, 17.459.297-4, 066, 29-08-2018
P, 19.498.322-7, 061, 30-08-2018
D, 18.985.988-1, 044, 30-08-2018
D, 17.459.297-4, 056, 02-09-2018
P, 18.478.232-6, 050, 03-09-2018
P, 17.775.111-2, 064, 03-09-2018
P, 19.498.322-7, 039, 04-09-2018
P, 18.478.232-6, 031, 04-09-2018
P, 18.648.673-1, 023, 05-09-2018
P, 20.349.028-7, 062, 07-09-2018
D, 18.989.948-7, 002, 09-09-2018
D, 18.588.984-5, 018, 09-09-2018
P, 20.349.028-7, 056, 10-09-2018
P, 18.948.049-k, 052, 11-09-2018
P, 18.648.673-1, 036, 11-09-2018
D, 19.654.466-3, 002, 12-09-2018
D, 18.648.673-1, 034, 12-09-2018
P, 19.632.948-4, 027, 17-09-2018
D, 19.498.322-7, 061, 19-09-2018
P, 19.129.001-8, 014, 20-09-2018
D, 18.985.988-1, 061, 21-09-2018
D, 18.478.232-6, 035, 21-09-2018
P, 18.648.673-1, 012, 23-09-2018
P, 19.129.001-8, 021, 23-09-2018
P, 17.748.904-2, 044, 24-09-2018
D, 19.894.749-1, 046, 28-09-2018
P, 17.748.904-2, 046, 29-09-2018
D, 17.775.111-2, 068, 30-09-2018
D, 18.948.049-k, 052, 01-10-2018
D, 19.498.322-7, 039, 02-10-2018
P, 18.948.049-k, 058, 03-10-2018
P, 18.478.232-6, 006, 03-10-2018
P, 18.948.049-k, 077, 07-10-2018
P, 20.349.028-7, 073, 09-10-2018
D, 19.632.948-4, 027, 11-10-2018
P, 17.459.297-4, 058, 11-10-2018
P, 18.588.984-5, 060, 12-10-2018
P, 20.349.028-7, 062, 13-10-2018
D, 17.748.904-2, 044, 14-10-2018
P, 19.498.322-7, 054, 15-10-2018
D, 18.478.232-6, 050, 17-10-2018
P, 19.632.948-4, 072, 18-10-2018
P, 20.349.028-7, 064, 20-10-2018
D, 19.129.001-8, 014, 21-10-2018
P, 18.588.984-5, 028, 21-10-2018
P, 19.480.993-2, 072, 22-10-2018
D, 17.775.111-2, 064, 24-10-2018
P, 17.775.111-2, 029, 24-10-2018
D, 20.349.028-7, 062, 27-10-2018
D, 18.648.673-1, 023, 28-10-2018
P, 18.648.673-1, 066, 29-10-2018
D, 18.948.049-k, 058, 01-11-2018
P, 17.775.111-2, 062, 01-11-2018
D, 18.648.673-1, 066, 02-11-2018
D, 20.349.028-7, 073, 06-11-2018
P, 18.989.948-7, 012, 07-11-2018
D, 17.459.297-4, 058, 08-11-2018
D, 18.478.232-6, 006, 09-11-2018
P, 18.478.232-6, 075, 12-11-2018
D, 19.498.322-7, 054, 13-11-2018
P, 18.343.232-4, 078, 15-11-2018
D, 17.775.111-2, 029, 15-11-2018
P, 19.498.322-7, 037, 16-11-2018
P, 17.459.297-4, 039, 18-11-2018
D, 18.588.984-5, 060, 20-11-2018
D, 19.632.948-4, 072, 21-11-2018
D, 19.480.993-2, 072, 30-11-2018
D, 17.775.111-2, 062, 29-12-2018
D, 18.989.948-7, 012, 18-12-2018
D, 18.478.232-6, 075, 30-12-2018
D, 18.343.232-4, 078, 31-12-2018
D, 19.498.322-7, 037, 16-12-2018
D, 17.459.297-4, 039, 18-12-2018
